cod_assunto|nome_novo
1132|Conceitos
1135|Ordem honorífica
1136|Companhia Paulista de Estrada de Ferro
1137|Comércio internacional
1138|Política industrial
1139|Economia industrial
1140|Produção industrial
1141|Teoria econômica
1145|Instituto Histórico e Geográfico de São Paulo. Museu José Bonifácio
1146|Coimbra, Álvaro da Veiga, 1896-
1148|Imigração japonesa
1149|Japoneses
1150|Ijuí (RS)
1151|Mão de Obra
1152|Arquivo Nacional (Brasil)
1153|Comércio Junta e Tribunal
1154|Documentos iconográficos
1156|Revista do Instituto Histórico e Geográfico de São Paulo
1157|Bahia. Leis, Etc
1159|Provérbios
1160|Catálogos dicionários
1161|Direito constitucional
1164|Questão Christie, 1861-1865
1165|Cana-de-Açucar
1166|Lopes, Francisco Expedito, 1914-1957
1167|Murcianos na América
1168|Vascos na América
1169|Basbaum, Leoncio, 1907-1969
1170|Humorismo, Sátira, Caricatura
1171|Planejamento econômico
1172|Irmandade de Nossa Senhora do Rosário dos Pretos do Pelourinho
1173|Alencar, Miguel Arraes De, 1916-
1174|Governo Ernesto Geisel, 1974-1979
1175|Assimilação
1176|Italianos Em Santa Felicidade (PR)
1177|Italianos no Paraná
1178|Porto (Portugal)
1179|Romance
1180|Transportes fluviais
1182|Política comercial
1183|História, 1813
1184|Holanda
1185|História, 1580-1800
1187|Relações econômicas
1189|Pestana, Francisco Rangel, 1839-1903
1190|Farmacologia
1191|Manuais, Guias
1192|Capela do Padre Matheus (Bahia)
1193|Andrada, José Bonifácio Lafayete De, 1904-
1194|Informática
1195|Instrumentos de pesquisa
1199|Documentos cartográficos
1202|Arquivos eclesiásticos
1203|Nápoles
1204|Centralização e descentralização
1205|Alemanha
1206|Cooperação técnica
1208|Arquivos do legislativo
1210|Arquivos permanentes
1211|Arquivos intermediários
1212|Avaliação e seleção
1213|Eliminação
1214|Acesso
1215|Teatro Folclórico Brasileiro
1217|Mitologia brasileira
1218|Literatura Folclórica Brasileira
1220|Manuais
1221|Escola de Ensino Superior
1223|Centro de Aperfeiçoamento de Pessoal Para Educação e Cultura-Cetremec
1224|Sociólogos
1225|Legislação social
1226|Museu de Arte Moderna (Bahia)
1227|Livros e leitura
1228|Mercado editorial
1229|Indústria gráfica
1230|Herança e Sucessão
1231|João Vi, Rei de Portugal, Brasil e Algarves, 1767-1826
1232|Cruzeiro Real, Moeda
1233|Museu Eugênio Teixeira Leal, Bahia
1234|Aspectos educacionais
1235|História oral
1236|Divisão de Arquivo Histórico do Museu Eugênio Teixeira Leal (Bahia)
1237|Museu Numismático, Bahia
1238|Filatelia
1239|Selo postal
1240|Museu Numismático Eugênio Teixeira Leal (Bahia)
1242|Ouro, Fundição
1244|Comércio de troca
1245|Réis, Moeda
1247|Instituto Feminino da Bahia
1251|Editoração
1252|Normalização bibliográfica
1253|Bibliotecas e usuários
1255|Memorial do Banco Econômico (Bahia)
1257|Dicionário histórico
1258|Dicionário geográfico
1259|Avaliação educacional
1260|Perseguições
1261|História, 1492
1262|Judeus na Europa
1263|Judeus no Império Otomano
1264|Séculos XV-XIX
1265|Judeus no Egito
1266|Judeus na África do Norte
1267|Transportes marítimos
1269|Caribe
1270|Documentos papais
1271|Protestantismo
1272|Aragoneses na América
1273|Valencianos na América
1276|História, 1500-1850
1278|Asturianos na América
1279|Leite de Barros (Família)
1280|Barros, Manuel Leite de
1281|Castro, José Manuel De, 1818-1879
1282|Arruda Campos (Família)
1283|Correa Aranha (Família)
1284|Nogueira Ribeiro (Família)
1285|Sabará, Manoel Antônio Pacheco, Barão De, 1783-1862
1286|Vital Brazil (Família)
1287|Breves (Família)
1288|Carvalho, Joaquim Monteiro De, 1832-1904
1289|Nogueira, Anna Constanca de Souza, 1839-1919
1291|Mogi das Cruzes (SP)
1292|Paula Santos (Família)
1293|Moraes, Ernesto Amado De, 1892-1973
1294|Gomez Rodrigues (Família)
1295|Rabello (Família)
1296|Weber (Família)
1297|Castro e Silva (Família)
1299|Araruama (Famíilia)
1300|Avelar e Almeida (Família)
1301|Dias Novaes (Família)
1302|Anjos, Augusto Dos, 1884-1914
